,buy_time,comment_time,days,color,size,content,score,sentiment
0,2021-11-11 20:50:51,2021-12-15 09:33:52,34,14丨i5 16G 512G锐炬显卡 皓月银,,此用户未填写评价内容,5,1
1,2021-11-04 12:47:56,2021-12-15 09:20:31,41,14丨i5 16G 512G锐炬显卡 皓月银,,屏幕清晰，运行不错，值得购买。,5,1
2,2021-12-04 07:02:37,2021-12-15 09:19:08,11,14丨i5 16G 512G锐炬显卡 皓月银,,暂未发现明细问题。,5,1
3,2021-11-11 20:41:03,2021-12-15 08:13:07,34,D14丨i5 16G 512G 皓月银,,还可以，我帮朋友买的,5,1
4,2021-10-14 22:35:54,2021-12-15 07:27:03,62,14丨i5 16G 512G锐炬显卡 皓月银,,电脑好是好，键盘失灵过一次，但能不能保值点，买的时候6299，刚到家就5899，接下来就5799还送蓝牙鼠标和保温杯。后面是不是只要4999呀,1,0
5,2021-12-12 23:02:09,2021-12-15 01:52:06,3,14s i7 16G 512G锐矩显卡 深空灰,,电脑颜值很高，系统反应很快,5,1
6,2021-12-12 14:29:24,2021-12-14 23:45:45,2,14s i5 16G 512G锐矩显卡 深空灰,,第一次用华为笔记本 体验非常好  支持华为 加油！,5,1
7,2021-12-08 22:35:44,2021-12-14 23:42:00,6,14丨i5 16G 512G锐炬显卡 深空灰,,我是双十二之前买的，后面双十二降价，有价保还是挺放心的。华为的笔记本是我第一次入手，也是我第一次入手华为品牌，说实话，质感是超级棒，运行很流畅，画质很有性价比，续航也很喜欢，重量也比较轻，我觉得选对了。可能有的人会问了，锐龙yyds，可是它太抢手了呀！只能入兼容性更好的英特尔了。,5,1
8,2021-12-12 11:47:36,2021-12-14 23:27:11,2,14丨i5 16G 512G锐炬显卡 深空灰,,异地调货，快递很快，电脑外观看起来很赞，可以银色没货，第一次开机用了很久，整体观感不错，风扇启动是声音比较大，还行，替换之前的旧电脑了。,5,1
9,2021-11-01 20:13:46,2021-12-14 23:16:40,43,14丨i5 16G 512G锐炬显卡 深空灰,,一个月内在京东买了两个笔记本，同一款的，一个是14寸的，一个是13寸的，大的给老爸，小的自己出差用，配置不错，可以触屏，用起来很方便。速度很快。老爸也很满意，哈哈,5,1
10,2021-11-26 16:55:56,2021-12-14 23:07:46,18,D14丨i5 16G 512G 皓月银,,千万别买，垃圾，新的外放就没声音，硬件就有问题！！！！联系了客服，问能不能换新的，人家说不能，散热还不好！！,1,0
11,2021-12-12 13:57:17,2021-12-14 23:07:05,2,14丨i5 16G 512G锐炬显卡 深空灰,,一直喜欢华为的产品，之前买的手机，双十二赶价格优惠入手了笔记本电脑，果然没让我失望，一如既往地精致便捷，喜欢华为，支持国货！,5,1
12,2021-11-10 20:27:50,2021-12-14 22:46:16,34,14丨i5 16G 512G锐炬显卡 深空灰,,挺好用，很轻薄，多屏协同实在太棒了,4,1
13,2021-12-12 13:53:12,2021-12-14 22:42:27,2,14丨i5 16G 512G锐炬显卡 深空灰,,物流非常快  电脑配置较高  按键灵敏度很高  颜色很正  没有令我失望  非常棒,5,1
14,2021-11-15 15:42:06,2021-12-14 22:28:02,29,14s i7 16G 512G锐矩显卡 深空灰,,非常棒的产品继续采购继续购物支持京东,5,1
15,2021-11-09 01:07:47,2021-12-14 22:21:17,35,14s i7 16G 512G锐矩显卡 深空灰,,非常棒的产品继续采购继续购物支持京东,5,1
16,2021-12-01 13:49:54,2021-12-14 21:50:10,13,14丨i5 16G 512G锐炬显卡 深空灰,,第一次买华为电脑，开机后觉得值，强大！运行速度：超快屏幕效果：看着舒服散热性能：挺好的，不过高强度工作有一点点声响，可以忽略外形外观：简单时尚，好看轻薄程度：很合适其他特色：绝对值！,5,1
17,2021-12-12 09:28:04,2021-12-14 21:38:54,2,14丨i7 16G 512G锐炬显卡 皓月银,,外观好看  速度没得挑 一次不输期待的购物体验,5,1
18,2021-12-12 00:42:37,2021-12-14 21:34:40,2,14丨i5 16G 512G锐炬显卡 深空灰,,凌晨下单，9点多就送到了。京东速度不服不行！,5,1
19,2021-12-12 19:26:21,2021-12-14 21:32:53,2,14s i5 16G 512G锐矩显卡 深空灰,,运行速度：i5标压处理器很适合cad制图屏幕效果：触控很好，还不太习惯，最大亮度不如MacBook，合盖两侧边缘的中间凸起。轻薄程度：中规中矩,5,1
20,2021-11-09 19:55:25,2021-12-14 21:28:47,35,D14丨i5 16G 512G 皓月银,,目前来说用起来很不错?,5,1
21,2021-12-11 20:26:57,2021-12-14 21:22:15,3,14丨i5 16G 512G锐炬显卡 深空灰,,购物首选京东，晚上下单第二天电脑就到了，华为电脑很漂亮还送鼠标，支持国货,5,1
22,2021-12-12 00:00:33,2021-12-14 20:50:51,2,14s i5 16G 512G锐矩显卡 深空灰,,运行速度：运行速度非常快屏幕效果：超清外形外观：外形大气轻薄程度：薄非常好的一块笔记本电脑，可以入手购买,5,1
23,2021-12-11 21:18:45,2021-12-14 20:47:47,3,14s i5 16G 512G锐矩显卡 深空灰,,运行速度：非常快，屏幕效果：非常好散热性能：不错。外形外观：好看,5,1
24,2021-12-12 10:37:00,2021-12-14 20:32:06,2,14丨i5 16G 512G锐炬显卡 深空灰,,屏幕效果好款式新，好看,5,1
25,2021-12-10 14:04:47,2021-12-14 20:28:18,4,14丨i7 16G 512G锐炬显卡 深空灰,,一次买了2台。一直信赖京东，好评。下次还会来，每一次在京东商城购物都是非常满意，特别舒心，东西是物美价廉，***惊喜多多，配送物流速度快，快递小哥服务质量好。有保障有品质，发生退货过节，京东服务人员也比较热心负责。在京东购物，已成为生活习惯。,5,1
26,2021-12-12 00:43:20,2021-12-14 20:18:17,2,14丨i5 16G 512G锐炬显卡 深空灰,,发货很快。电脑开机快。好,5,1
27,2021-12-12 00:05:00,2021-12-14 20:16:28,2,14丨i5 16G 512G锐炬显卡 深空灰,,试用了下，传输速度，从老电脑考出来一小时，再传进华为，用了五分钟。,5,0
