,buy_time,comment_time,days,color,size,content,score,sentiment
61,2021-11-10 20:27:00,2021-11-23 15:25:48,13,金色,M1 8G 256G 标配,电视性价比高，屏幕很清晰，超赞,5,1
62,2021-11-09 12:04:07,2021-11-23 11:11:20,14,金色,M1 8G 256G 标配,是正品，直播间优惠大,5,1
63,2021-11-05 12:21:51,2021-11-23 11:00:18,18,金色,M1 8G 256G 标配,电脑很好用，挺满意的,5,1
64,2021-11-10 20:22:49,2021-11-23 10:51:39,13,金色,M1 8G 256G 标配,秒杀直播间，抢到了很开心,5,0
65,2021-11-09 12:08:04,2021-11-23 09:09:51,14,金色,M1 8G 256G 标配,双十一买的，价格实惠，质量好，用了几天挺满意的！,5,1
66,2021-11-10 20:54:15,2021-11-23 03:59:30,13,金色,M1 8G 256G 标配,很好的卖家，闪电发货！,5,1
67,2021-11-05 07:29:43,2021-11-23 01:38:55,18,金色,M1 8G 256G 标配,轻便方便使用，系统运行流畅，卖家发货速度快。,5,1
68,2021-11-10 20:32:27,2021-11-22 23:07:09,12,金色,M1 8G 256G 标配,发货快。苹果平板，视网膜屏、画面清晰不伤眼，外观小巧便携，运行流畅。满意,5,1
69,2021-11-10 20:14:51,2021-11-22 21:37:11,12,金色,M1 8G 256G 标配,期待使用效果。。。。。。。,5,1
70,2021-11-09 12:02:28,2021-11-22 21:07:31,13,金色,M1 8G 256G 标配,屏幕色彩好，尺寸屏幕大，系统流畅，稳定性好，续航能力强，充电速度快，方便好携带。,5,1
71,2021-11-10 20:14:24,2021-11-22 21:02:48,12,金色,M1 8G 256G 标配,收到货了，开机很快，运行速度流畅不卡顿，很满意,5,1
72,2021-11-09 12:02:35,2021-11-22 21:02:01,13,金色,M1 8G 256G 标配,屏幕色彩很棒，系统流畅顺滑，稳定性好，续航能力强，充电速度快，方便好携带。,5,1
73,2021-11-10 20:24:13,2021-11-22 15:55:34,12,金色,M1 8G 256G 标配,挺好。性价比高。值得推荐。,5,1
74,2021-11-05 07:59:40,2021-11-22 15:38:49,17,金色,M1 8G 256G 标配,电脑轻便方便携带，双十一价格非常给力，性价比高，系统运行稳定，速度很快。,5,1
75,2021-11-10 20:39:49,2021-11-22 14:31:30,12,金色,M1 8G 256G 标配,宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??超出预期，质量很好，做工精细，满意简直太好用了，只能用完美来形容！强烈推荐！,5,1
76,2021-11-10 20:25:22,2021-11-22 09:48:43,12,金色,M1 8G 256G 标配,笔记本电脑已经使用了，屏幕大很清晰，散热挺好,5,1
77,2021-11-09 13:54:05,2021-11-21 22:30:54,12,金色,M1 8G 256G 标配,颜色很好看，不卡顿，挺满意的,5,1
78,2021-11-05 00:11:46,2021-11-21 22:09:21,16,金色,M1 8G 256G 标配,东西很好用！非常流畅！,5,1
79,2021-11-09 12:07:27,2021-11-21 22:09:06,12,金色,M1 8G 256G 标配,东西很好用！非常流畅！,5,1
80,2021-11-10 20:21:25,2021-11-21 22:08:29,11,金色,M1 8G 256G 标配,东西很好用！非常流畅！,5,1
81,2021-11-05 00:02:15,2021-11-21 19:10:04,16,金色,M1 8G 256G 标配,mac的电脑就是非常好，非常流畅并且也不是很卡顿,5,1
82,2021-11-10 20:38:36,2021-11-21 16:46:02,11,金色,M1 8G 256G 标配,非常完美质量很好，大品牌就是不一样，服务态度很好，发货也快。,5,1
83,2021-11-09 16:11:50,2021-11-21 15:19:54,12,金色,M1 8G 256G 标配,赞一个！货真价实的宝贝，性价比很高，满意的一次购物体验,5,1
84,2021-11-10 21:52:27,2021-11-21 15:19:04,11,金色,M1 8G 256G 标配,挺好的，赞一个！不错不错的宝贝，很满意的，很流畅,5,1
85,2021-11-10 20:16:25,2021-11-21 14:38:05,11,金色,M1 8G 256G 标配,包装完整，配送及时运行流畅，成色不错，简单美观,5,1
86,2021-11-05 00:04:49,2021-11-21 08:40:27,16,金色,M1 8G 256G 标配,电脑用着很好，苹果用起来感觉就是不一样，反应就是快，价格便宜物超所值,5,1
87,2021-11-05 16:03:50,2021-11-20 21:15:01,15,金色,M1 8G 256G 标配,"试用了几天,各方面性能很棒,外观当然是别的品牌没法比的;尤其是电池续航、散热等,比起以前的 Mac book air 性能好而价格便宜。 guten !",5,1
88,2021-11-10 20:19:10,2021-11-20 19:49:20,10,金色,M1 8G 256G 标配,电脑运行速度快，外形设计美观大方。,5,1
89,2021-11-05 16:12:39,2021-11-20 18:57:39,15,金色,M1 8G 256G 标配,发货快，运输快，包装完好，外观精美，手感很好。系统很流畅，运行速度快，屏幕像素高。,5,1
90,2021-11-10 20:20:12,2021-11-20 14:49:17,10,金色,M1 8G 256G 标配,朋友购买用着好，给我推荐的，棒棒哒哦！速度快，真好,5,1
91,2021-11-10 20:24:46,2021-11-20 14:46:32,10,金色,M1 8G 256G 标配,心仪好久终于趁着活动买了哦，没有失望，强力推荐,5,1
92,2021-11-09 12:08:16,2021-11-20 08:36:53,11,金色,M1 8G 256G 标配,谢谢商家发货及时。包装很好，赞一个。不错不错的宝贝,5,1
93,2021-11-05 00:08:22,2021-11-20 08:32:04,15,金色,M1 8G 256G 标配,很满意这款宝贝，商家发货很快，赞一个！续航能力很强,5,1
94,2021-11-10 21:27:17,2021-11-20 08:20:57,10,金色,M1 8G 256G 标配,屏幕效果：效果很好，赞一个！外形外观：很漂亮，很满意的一次购物体验！其他特色：续航能力强,5,1
95,2021-11-10 20:50:27,2021-11-20 07:42:02,10,金色,M1 8G 256G 标配,运行很快，是我喜欢的东西，性价比高,5,1
96,2021-11-09 12:06:27,2021-11-20 00:22:13,11,金色,M1 8G 256G 标配,发货速度很快。包装无损。开机跟运行都很流畅，屏幕的话很清晰。外形真的非常时尚，推荐购买。,5,1
97,2021-11-10 22:33:10,2021-11-19 23:28:00,9,金色,M1 8G 256G 标配,收到了，不论是看视频还是做别的，都挺不错的,5,1
98,2021-11-05 10:06:07,2021-11-19 19:58:32,14,金色,M1 8G 256G 标配,跟实体店没有区别，还便宜，喜欢！宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?,5,1
99,2021-11-05 00:14:33,2021-11-19 18:43:27,14,金色,M1 8G 256G 标配,不错(?▽?)。送货服务很好的。很推荐！。值得购买的,5,1
100,2021-11-10 20:22:14,2021-11-19 18:24:40,9,金色,M1 8G 256G 标配,运行速度：就是喜欢这个系统，运行稳定，速度快,5,1
101,2021-11-10 20:25:11,2021-11-19 17:39:10,9,金色,M1 8G 256G 标配,双十一买的，特别划算，十分的满意。,5,1
102,2021-11-05 00:23:29,2021-11-19 17:01:11,14,金色,M1 8G 256G 标配,绝对正品了，品质好，大牌子用的放心。,5,1
103,2021-11-10 20:21:31,2021-11-19 15:36:19,9,金色,M1 8G 256G 标配,新款笔记本，很时尚，运行很速度，散热不错,5,1
104,2021-11-10 20:18:10,2021-11-19 15:08:08,9,金色,M1 8G 256G 标配,电脑高大上非常满意,5,1
105,2021-11-10 20:25:52,2021-11-19 13:50:16,9,金色,M1 8G 256G 标配,比官网便宜，双十一，京东价格很优惠老板服务态度也不错,5,1
106,2021-11-10 20:38:10,2021-11-19 11:58:51,9,金色,M1 8G 256G 标配,很流畅。屏幕效果：色彩饱满散热性能：运行一小时散热正常外形外观：外观很顺眼轻薄程度：还可以，携带方便,5,1
107,2021-11-10 20:56:17,2021-11-19 09:20:27,9,金色,M1 8G 256G 标配,颜值高，太稀饭了嘛,5,0
108,2021-11-10 20:22:13,2021-11-19 09:17:33,9,金色,M1 8G 256G 标配,电脑很好用，外观漂亮,5,1
109,2021-11-09 12:04:23,2021-11-19 06:44:36,10,金色,M1 8G 256G 标配,办公游戏两相宜，值得推荐。,5,1
110,2021-11-10 20:16:49,2021-11-18 23:03:32,8,金色,M1 8G 256G 标配,发货快，商品完整，很棒！,5,1
111,2021-11-10 20:36:13,2021-11-18 22:55:52,8,金色,M1 8G 256G 标配,到货了，物流很快包装很好，没有损坏，超级满意的，良心卖家,5,1
112,2021-11-10 20:39:30,2021-11-18 22:51:38,8,金色,M1 8G 256G 标配,很不错，正品，很喜欢，很酷，也不卡，流畅，很喜欢，推荐大家使用这个产品,5,1
113,2021-11-10 20:23:59,2021-11-18 22:50:17,8,金色,M1 8G 256G 标配,挺好的噢 很有高科技感 而且不懂的地方可以去问客服 会很耐心地解答 建议购买噢,5,1
114,2021-11-10 20:18:12,2021-11-18 22:48:45,8,金色,M1 8G 256G 标配,质量挺好的，到货很快，良心卖家,5,1
115,2021-11-10 20:29:45,2021-11-18 22:25:27,8,金色,M1 8G 256G 标配,很好，正品，上档次，服务好，物流快，赠品多，满意,5,1
116,2021-11-10 20:24:31,2021-11-18 22:11:43,8,金色,M1 8G 256G 标配,电脑收到了，快递很快，是正品，操作起来很流畅，挺满意的,5,1
117,2021-11-10 20:23:11,2021-11-18 21:29:48,8,金色,M1 8G 256G 标配,电脑非常不错，这个价钱买到很值了，运流畅，屏幕清晰，挺好的,5,1
118,2021-11-10 20:23:03,2021-11-18 21:29:15,8,金色,M1 8G 256G 标配,这款质量特别好，款式好看，散热好，满意,5,1
119,2021-11-10 20:37:24,2021-11-18 21:25:15,8,金色,M1 8G 256G 标配,平板收到了，运行速度很快，很喜欢,5,1
120,2021-11-09 12:04:08,2021-11-18 20:56:39,9,金色,M1 8G 256G 标配,运行速度很快，散热性能好，很满意。,5,1
