,buy_time,comment_time,days,color,size,content,score,sentiment
190,2021-09-30 06:28:22,2021-10-31 03:59:29,31,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑挺不错的，本人非常喜欢的一款,5,1
191,2021-10-25 10:34:08,2021-10-30 14:29:09,5,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,比想象的还要轻薄。用了两天了很流畅。,5,1
192,2021-09-05 12:40:52,2021-10-30 10:59:38,55,14英寸,【7nm】新款E14|R5|16G|512GSSD,发货快，产品好，总体轻便，笔记本还是ibm,5,1
193,2021-09-14 21:14:36,2021-10-30 09:37:26,46,14英寸,【7nm】2021 E14|R5|16G|512GSSD,差评了，开始声音驱动问题，后面电脑自动关无线网卡，每天晚上11点开始，第二天自动恢复，严重影响使用,3,0
194,2021-09-21 00:01:32,2021-10-30 01:22:03,39,14英寸,【7nm】2021 E14|R5|16G|512GSSD,不错,5,1
195,2021-10-28 21:19:44,2021-10-29 22:11:58,1,14英寸 win 11,新款E14|R5|16G|512G win11,东西是不错，物流也快，就是只有裸机，电脑包和鼠标还要另外配，要是送配件就更完美了,5,1
196,2021-09-20 16:42:00,2021-10-29 19:46:41,39,14英寸,【7nm】2021 E14|R5|16G|512GSSD,配送快,5,0
197,2021-09-23 06:51:21,2021-10-29 16:54:15,36,14英寸,【7nm】2021 E14|R5|16G|512GSSD,还可以，目前没什么问题，已上机，期待好评。。。,5,1
198,2021-10-28 18:43:56,2021-10-29 12:54:19,1,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,还行还行,5,1
199,2021-10-01 22:19:00,2021-10-29 11:20:30,28,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,买得贵了，京东现在都有点过了,3,1
200,2021-10-27 11:05:01,2021-11-05 13:10:00,9,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,整体性能还不错，稳定性也很好,5,1
201,2021-08-18 00:03:00,2021-09-03 20:52:09,16,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,特意用了半个多月才能评价，性能确实不错，办公首选，性价比很高！,5,1
202,2021-10-16 23:17:34,2021-12-14 18:58:23,59,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,轻薄携带方便，运行速度非常棒，办公打游戏都没有问题的，大屏幕很好，看久眼睛不疲劳，散热性能很好，长时间用也不会发烫，性价比高，值得购买。,5,1
203,2021-09-23 00:51:15,2021-10-12 10:57:18,19,14英寸,【7nm】2021 E14|R5|16G|512GSSD,物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????正品，买的放心，价钱也公道，满意！东西不错，还有优惠，可以放心省钱购买，不要犹豫了,5,1
204,2021-11-22 20:32:43,2021-11-23 15:46:07,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,运行速度：不错屏幕效果：感觉不是很好散热性能：不错外形外观：不错轻薄程度：可以,5,1
205,2021-09-23 21:35:13,2021-10-01 21:59:56,8,14英寸,【7nm】2021 E14|R5|16G|512GSSD,黑色经典外观大小合适，散热不是太好，性价比高，为什么不送包和鼠标.....,5,1
206,2021-08-25 00:01:19,2021-09-03 11:36:10,9,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,此用户未填写评价内容,5,1
207,2021-12-04 17:37:55,2021-12-07 22:32:36,3,14英寸,【7nm】2021 E14|R7|16G|512GSSD,用了几天，简直不要太喜欢，简约大方，轻巧，开机没有声音，运行声音也很小，用它换掉了上一台老联想，运行sw，ansys等终于不卡了，大爱。,5,1
208,2021-08-07 11:18:24,2021-10-06 13:02:34,60,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,赶上活动购买的 价钱很合适，用着也很顺手 反应非常灵敏，大品牌果然是不一样，下次还会选择联想，非常值得信赖。大家有需要的放心入手啦,5,1
209,2021-12-07 22:58:55,2021-12-10 09:29:45,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,开机关机速度快，用着流畅，很不错，就是没有背景灯,5,1
210,2021-12-02 14:16:44,2021-12-11 15:11:23,9,14英寸,【7nm】2021 E14|R7|16G|512GSSD,给公司采购的，前前后后买了十几台了，觉得这款性价比超高，颜值也高，价格划算，同事反馈也不错，办公非常不错！,5,1
211,2021-09-23 09:54:54,2021-11-19 21:13:31,57,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑目前使用未出现任何问题，运行也很稳定，一直很喜欢的款式，内敛稳重。,5,1
212,2021-10-11 19:23:08,2021-10-12 14:27:05,1,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,在公司一直用的ThinkPad的电脑，用的T14s，现在推荐朋友买了一个E15用来办公，总之还是不错的，希望越来越好吧。,5,1
213,2021-09-22 13:24:16,2021-09-24 11:42:52,2,14英寸,【7nm】2021 E14|R5|16G|512GSSD,发货很快，物流也很快，宝贝很喜欢，质量很好，价格也实惠，满意。,5,1
214,2021-11-24 10:11:57,2021-12-12 14:16:18,18,14英寸,【7nm】2021 E14|R5|16G|512GSSD,运行速度快，性价比高，挺好的一款笔记本电脑,5,1
215,2021-11-11 16:30:02,2021-11-21 13:49:25,10,14英寸,【7nm】2021 E14|R5|16G|512GSSD,这是京东买电器最慢的一次，下单到收件10天时间,5,0
216,2021-09-19 19:18:20,2021-09-21 10:07:00,2,14英寸,【7nm】2021 E14|R5|16G|512GSSD,运行速度：可以,5,1
217,2021-08-27 08:43:42,2021-08-30 13:00:44,3,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,机器挺好的，学生学习够用,5,1
218,2021-09-22 18:27:00,2021-11-13 12:01:17,52,14英寸,【7nm】2021 E14|R5|16G|512GSSD,性能好，性价比高，价格实惠，性价比高，很满意。,5,1
219,2021-09-15 17:31:34,2021-11-03 11:39:52,49,14英寸,【7nm】2021 E14|R5|16G|512GSSD,设计经典，颜色沉稳，就是容易有指纹印，性能好，用料质量有保证，推荐。,5,1
220,2021-09-15 17:29:34,2021-11-03 11:39:27,49,14英寸,【7nm】2021 E14|R5|16G|512GSSD,设计经典，颜色沉稳，就是容易有指纹印，性能好，用料质量有保证，推荐。,5,1
221,2021-09-16 20:45:19,2021-11-03 11:39:10,48,14英寸,【7nm】2021 E14|R5|16G|512GSSD,设计经典，颜色沉稳，就是容易有指纹印，性能好，用料质量有保证，推荐。,5,1
222,2021-08-27 14:18:10,2021-08-31 12:52:30,4,14英寸,【7nm】2021 E14|R5|16G|512GSSD,外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，很不错，学生价买的很合适。,5,1
223,2021-09-21 15:34:35,2021-09-25 15:49:57,4,14英寸,【7nm】2021 E14|R5|16G|512GSSD,不错比想象中的要好，联想的笔记本性能释放更强一点，运行流畅，不错。,5,1
224,2021-09-21 09:51:32,2021-11-01 18:01:02,41,14英寸,【7nm】2021 E14|R5|16G|512GSSD,用了段时间，还行吧。就是散热风扇声音有点响。估计散热差点。夏季担忧,5,1
225,2021-09-23 06:51:21,2021-10-29 16:54:15,36,14英寸,【7nm】2021 E14|R5|16G|512GSSD,还可以，目前没什么问题，已上机，期待好评。。。,5,1
226,2021-09-29 00:09:20,2021-11-06 10:06:13,38,14英寸,【7nm】2021 E14|R5|16G|512GSSD,购买愉快，习惯性好评一下，走到哪留到哪,5,1
