,buy_time,comment_time,days,color,size,content,score,sentiment
0,2021-12-10 19:59:29,2021-12-15 09:28:08,5,青春版,11代 i3 8G+256G,不卡机，本人是不玩游戏的,5,0
1,2021-12-12 16:16:24,2021-12-15 08:54:49,3,青春版,11代 i3 8G+256G,外形轻薄美观，金属质感强。屏幕显示效果好，色彩鲜艳，细腻。开机不到十秒，运行超快。系统为W in10，预装了Office家庭版，虽然电脑为集显办公及上网足够了。公司给员工配的都选的这款。,5,1
2,2021-11-16 14:00:08,2021-12-14 21:16:48,28,青春版,11代 i5 16G 512G,很好，孩子很喜欢这个电脑。,5,1
3,2021-12-11 17:37:11,2021-12-14 21:15:33,3,青春版,11代 i5 16G 512G,不错不错。。。发货速度快,5,1
4,2021-11-19 10:04:10,2021-12-14 20:46:24,25,青春版,11代 i3 8G+256G,非常好用,5,1
5,2021-12-12 08:52:06,2021-12-14 20:35:08,2,星14,【新品】 11代 i5 16G+512G银色,质量很好，很轻薄，使用起来方便，速度也很快。,5,1
6,2021-12-10 10:07:41,2021-12-14 20:33:21,4,星14,【新品】 11代 i5 16G+512G银色,轻薄，运行很快，键盘手感非常好。性价比较高,5,1
7,2021-12-13 09:13:27,2021-12-14 20:17:35,1,青春版,11代 i3 8G+256G,对比了一下，还是喜欢惠普！颜值各方面都不错。,5,1
8,2021-12-13 17:42:51,2021-12-14 18:58:19,1,星14,11代 i7 16G+512G 银色,电脑还可以，11代酷睿i7yyds，英特尔酷睿#，支持惠普电脑,5,1
9,2021-12-12 00:03:18,2021-12-14 18:49:54,2,星14,【新品】 11代 i5 16G+512G银色,造型美观简洁，携带方便。使用起来还没有出现什么问题，值得购买！,5,1
10,2021-12-12 11:31:39,2021-12-14 18:44:21,2,青春版,11代 i3 8G+256G,这配置已经算很好了，给同事买的,5,1
11,2021-12-12 15:23:49,2021-12-14 17:50:03,2,青春版,11代 i3 8G+256G,很好,5,1
12,2021-12-06 23:41:42,2021-12-14 17:04:33,8,青春版,11代 i3 8G+256G,大品牌速度可以，价格不贵。,5,1
13,2021-12-12 20:53:04,2021-12-14 16:31:44,2,青春版,11代 i3 8G+256G,机子不错的，玩起来很舒服，很流畅，游戏能打一打,5,1
14,2021-12-11 11:16:08,2021-12-14 16:21:49,3,星14,【新品】 11代 i5 16G+512G粉色,冲着惠普星的薄和性能去买的，颜色很美，适合女生，大学生很适用。,5,1
